Order ID,Date,Product,Category,Region,Units Sold,Unit Price,Sales
ORD-2593,2022-01-18,Ramen instantanés au miso vegan,Riz & Nouilles,Auvergne-Rhône-Alpes,2,3.2,6.4
ORD-3057,2022-01-18,Nouilles Udon 7 portions,Riz & Nouilles,Île-de-France,3,5.5,16.5
ORD-2799,2022-01-18,Nouilles Udon 7 portions,Riz & Nouilles,Nouvelle-Aquitaine,1,5.5,5.5
ORD-2406,2022-01-19,Ramen instantanés tonkotsu sans gluten,Riz & Nouilles,Île-de-France,3,4.1,12.3
ORD-2214,2022-01-19,Dashi iRASSHAi,Essentiels,Grand Est,1,7.9,7.9
ORD-1797,2022-01-19,Nouilles udon précuites avec sauce 3 portions,Riz & Nouilles,Provence-Alpes-Côte d'Azur,2,5.6,11.2
ORD-2282,2022-01-20,Nouilles udon iRASSHAi,Riz & Nouilles,Île-de-France,2,4.5,9.0
ORD-1814,2022-01-20,Coffret art de cuisiner japonais,Coffrets,Auvergne-Rhône-Alpes,2,59.9,119.8
ORD-2042,2022-01-20,Nouilles soba 100% sarrasin premium,Riz & Nouilles,Auvergne-Rhône-Alpes,3,9.4,28.2
ORD-2649,2022-01-22,Ramen instantanés au miso vegan,Riz & Nouilles,Hauts-de-France,2,3.2,6.4
ORD-1039,2022-01-24,Coffret découverte thés,Coffrets,Île-de-France,1,29.9,29.9
ORD-2763,2022-01-24,Thé vert japonais,Boissons,Occitanie,4,8.9,35.6
ORD-1709,2022-01-24,Nouilles udon précuites avec bouillon 3 portions,Riz & Nouilles,Pays de la Loire,2,5.6,11.2
ORD-1995,2022-01-25,Nouilles udon précuites 3 portions,Riz & Nouilles,Île-de-France,3,5.4,16.2
ORD-3249,2022-01-25,Nouilles yakisoba précuites 5 portions,Riz & Nouilles,Auvergne-Rhône-Alpes,1,6.5,6.5
ORD-1801,2022-01-25,Ramen instantanés à la sauce soja vegan,Riz & Nouilles,Auvergne-Rhône-Alpes,1,3.2,3.2
ORD-2177,2022-01-26,Coffret art de cuisiner japonais,Coffrets,Île-de-France,2,59.9,119.8
ORD-2024,2022-01-26,Ramen au yuzu et à la sauce soja 2 portions,Riz & Nouilles,Île-de-France,3,5.65,16.95
ORD-2873,2022-01-26,Riz japonais iRASSHAi,Essentiels,Auvergne-Rhône-Alpes,2,8.5,17.0
ORD-2318,2022-01-26,Coffret matcha,Coffrets,Occitanie,3,39.9,119.7
ORD-2293,2022-01-27,Amazake,Boissons,Nouvelle-Aquitaine,2,6.9,13.8
ORD-1294,2022-01-29,Sauce teriyaki iRASSHAi,Essentiels,Île-de-France,1,6.9,6.9
ORD-2000,2022-01-29,Nouilles udon précuites avec bouillon 3 portions,Riz & Nouilles,Île-de-France,2,5.6,11.2
ORD-3032,2022-01-30,Ramen instantanés tonkotsu sans gluten,Riz & Nouilles,Île-de-France,4,4.1,16.4
ORD-1076,2022-01-31,Nouilles soba 100% sarrasin,Riz & Nouilles,Auvergne-Rhône-Alpes,1,5.5,5.5
ORD-2838,2022-01-31,Ramen instantanés au curry vegan 2 portions,Riz & Nouilles,Auvergne-Rhône-Alpes,1,4.9,4.9
ORD-2947,2022-02-01,Sauce ponzu,Condiments,Hauts-de-France,2,6.9,13.8
ORD-2555,2022-02-01,Coffret matcha,Coffrets,Île-de-France,3,39.9,119.7
ORD-1775,2022-02-01,Nouilles udon précuites avec sauce 3 portions,Riz & Nouilles,Provence-Alpes-Côte d'Azur,4,5.6,22.4
ORD-3002,2022-02-02,Ramen instantanés au potage vegan,Riz & Nouilles,Île-de-France,1,3.2,3.2
ORD-1749,2022-02-02,Ramen au yuzu et à la sauce soja 2 portions,Riz & Nouilles,Bretagne,2,5.65,11.3
ORD-1803,2022-02-05,Matcha iRASSHAi,Essentiels,Hauts-de-France,1,12.9,12.9
ORD-3275,2022-02-05,Nouilles udon précuites avec bouillon 3 portions,Riz & Nouilles,Île-de-France,4,5.6,22.4
ORD-3295,2022-02-05,Dashi iRASSHAi,Essentiels,Île-de-France,2,7.9,15.8
ORD-2795,2022-02-07,Nouilles soba à l'igname,Riz & Nouilles,Île-de-France,5,4.1,20.5
ORD-2501,2022-02-08,Amazake,Boissons,Nouvelle-Aquitaine,1,6.9,6.9
ORD-2710,2022-02-08,Sauce ponzu,Condiments,Nouvelle-Aquitaine,3,6.9,20.7
ORD-2090,2022-02-09,Nouilles soba à l'igname,Riz & Nouilles,Île-de-France,2,4.1,8.2
ORD-2278,2022-02-10,Ramen instantanés au miso sans gluten,Riz & Nouilles,Île-de-France,2,4.1,8.2
ORD-1179,2022-02-10,Wasabi,Condiments,Provence-Alpes-Côte d'Azur,3,8.9,26.7
ORD-3378,2022-02-10,Mirin iRASSHAi,Essentiels,Hauts-de-France,1,6.5,6.5
ORD-1198,2022-02-11,Sauce ponzu,Condiments,Auvergne-Rhône-Alpes,4,6.9,27.6
ORD-2189,2022-02-11,Nouilles soba 100% sarrasin premium,Riz & Nouilles,Hauts-de-France,2,9.4,18.8
ORD-1275,2022-02-12,Coffret découverte thés,Coffrets,Bretagne,1,29.9,29.9
ORD-2699,2022-02-13,Coffret art de cuisiner japonais,Coffrets,Provence-Alpes-Côte d'Azur,1,59.9,59.9
ORD-1386,2022-02-13,Ramen instantanés au miso sans gluten,Riz & Nouilles,Auvergne-Rhône-Alpes,1,4.1,4.1
ORD-2273,2022-02-14,Yuzu kosho,Condiments,Auvergne-Rhône-Alpes,1,9.5,9.5
ORD-2807,2022-02-14,Nouilles soba,Riz & Nouilles,Île-de-France,3,4.9,14.7
ORD-2749,2022-02-14,Coffret art de cuisiner japonais,Coffrets,Occitanie,1,59.9,59.9
ORD-1730,2022-02-14,Nouilles udon au matcha,Riz & Nouilles,Nouvelle-Aquitaine,3,3.5,10.5
ORD-2496,2022-02-15,Ramen au yuzu et à la sauce soja 2 portions,Riz & Nouilles,Auvergne-Rhône-Alpes,3,5.65,16.95
ORD-2667,2022-02-15,Nouilles yakisoba précuites avec sauce 3 portions,Riz & Nouilles,Occitanie,3,5.6,16.8
ORD-2791,2022-02-16,Nouilles soba 100% sarrasin premium,Riz & Nouilles,Bretagne,2,9.4,18.8
ORD-3208,2022-02-16,Nouilles yakisoba précuites 5 portions,Riz & Nouilles,Île-de-France,2,6.5,13.0
ORD-3463,2022-02-17,Sauce teriyaki iRASSHAi,Essentiels,Île-de-France,2,6.9,13.8
ORD-2629,2022-02-17,Nouilles Udon de Kagawa 3 portions,Riz & Nouilles,Grand Est,2,3.9,7.8
ORD-3061,2022-02-18,Sauce ponzu,Condiments,Grand Est,3,6.9,20.7
ORD-3180,2022-02-19,Riz japonais iRASSHAi,Essentiels,Provence-Alpes-Côte d'Azur,1,8.5,8.5
ORD-2782,2022-02-19,Nouilles udon iRASSHAi,Riz & Nouilles,Occitanie,3,4.5,13.5
ORD-1886,2022-02-20,Dashi iRASSHAi,Essentiels,Normandie,4,7.9,31.6
ORD-3230,2022-02-21,Nouilles udon au matcha,Riz & Nouilles,Provence-Alpes-Côte d'Azur,2,3.5,7.0
ORD-2374,2022-02-21,Nouilles soba à l'igname,Riz & Nouilles,Nouvelle-Aquitaine,5,4.1,20.5
ORD-1394,2022-02-22,Nouilles Udon de Kagawa 3 portions,Riz & Nouilles,Pays de la Loire,3,3.9,11.7
ORD-1274,2022-02-22,Nouilles soba 100% sarrasin,Riz & Nouilles,Hauts-de-France,3,5.5,16.5
ORD-2832,2022-02-23,Ramen tantan men piquant vegan 2 portions,Riz & Nouilles,Auvergne-Rhône-Alpes,4,4.9,19.6
ORD-1581,2022-02-23,Nouilles yakisoba précuites avec sauce 3 portions,Riz & Nouilles,Occitanie,1,5.6,5.6
ORD-1429,2022-02-23,Vinaigrette au sésame,Condiments,Île-de-France,2,7.9,15.8
ORD-3350,2022-02-24,Nouilles yakisoba précuites avec sauce 3 portions,Riz & Nouilles,Île-de-France,1,5.6,5.6
ORD-1656,2022-02-24,Vinaigrette au sésame,Condiments,Hauts-de-France,2,7.9,15.8
ORD-3028,2022-02-25,Nouilles yakisoba précuites 5 portions,Riz & Nouilles,Île-de-France,3,6.5,19.5
ORD-1188,2022-02-25,Nouilles soba 100% sarrasin,Riz & Nouilles,Île-de-France,3,5.5,16.5
ORD-1867,2022-02-25,Riz japonais iRASSHAi,Essentiels,Grand Est,1,8.5,8.5
ORD-2210,2022-02-26,Nouilles soba à l'igname,Riz & Nouilles,Île-de-France,2,4.1,8.2
ORD-2568,2022-02-26,Dashi iRASSHAi,Essentiels,Occitanie,3,7.9,23.7
ORD-2104,2022-02-27,Coffret matcha,Coffrets,Grand Est,1,39.9,39.9
ORD-1525,2022-02-27,Nouilles soba d'Okuizumo,Riz & Nouilles,Provence-Alpes-Côte d'Azur,3,6.9,20.7
ORD-3478,2022-02-28,Nouilles yakisoba précuites 5 portions,Riz & Nouilles,Nouvelle-Aquitaine,1,6.5,6.5
ORD-1613,2022-02-28,Nouilles soba 100% sarrasin,Riz & Nouilles,Île-de-France,2,5.5,11.0
ORD-2640,2022-02-28,Nouilles soba,Riz & Nouilles,Île-de-France,2,4.9,9.8
ORD-3146,2022-03-01,Miso iRASSHAi,Essentiels,Grand Est,2,7.5,15.0
ORD-2910,2022-03-01,Nouilles yakisoba précuites avec sauce 3 portions,Riz & Nouilles,Auvergne-Rhône-Alpes,1,5.6,5.6
ORD-2016,2022-03-02,Nouilles soba 100% sarrasin premium,Riz & Nouilles,Bourgogne-Franche-Comté,2,9.4,18.8
ORD-2965,2022-03-03,Nouilles Udon 7 portions,Riz & Nouilles,Île-de-France,3,5.5,16.5
ORD-1004,2022-03-03,Nouilles soba 100% sarrasin,Riz & Nouilles,Occitanie,2,5.5,11.0
ORD-1434,2022-03-04,Nouilles soba 100% sarrasin,Riz & Nouilles,Pays de la Loire,3,5.5,16.5
ORD-2434,2022-03-05,Dashi iRASSHAi,Essentiels,Auvergne-Rhône-Alpes,1,7.9,7.9
ORD-1197,2022-03-05,Ramen au yuzu et à la sauce soja 2 portions,Riz & Nouilles,Pays de la Loire,1,5.65,5.65
ORD-2995,2022-03-05,Ramen au yuzu et à la sauce soja 2 portions,Riz & Nouilles,Île-de-France,1,5.65,5.65
ORD-1923,2022-03-05,Ramen au miso vegan 3 portions,Riz & Nouilles,Île-de-France,1,4.5,4.5
ORD-2673,2022-03-06,Nouilles soba 100% sarrasin premium,Riz & Nouilles,Île-de-France,1,9.4,9.4
ORD-1812,2022-03-06,Nouilles soba 100% sarrasin,Riz & Nouilles,Nouvelle-Aquitaine,1,5.5,5.5
ORD-3357,2022-03-06,Ramen au yuzu vegan 2 portions,Riz & Nouilles,Île-de-France,2,5.65,11.3
ORD-2925,2022-03-06,Ramen instantanés au curry vegan 2 portions,Riz & Nouilles,Île-de-France,2,4.9,9.8
ORD-2837,2022-03-08,Nouilles yakisoba avec sauce 2 portions,Riz & Nouilles,Île-de-France,3,4.5,13.5
ORD-2379,2022-03-08,Ramen tantan men piquant vegan 2 portions,Riz & Nouilles,Île-de-France,3,4.9,14.7
ORD-1932,2022-03-08,Sauce soja iRASSHAi,Essentiels,Pays de la Loire,4,6.9,27.6
ORD-2590,2022-03-08,Matcha iRASSHAi,Essentiels,Île-de-France,1,12.9,12.9
ORD-1821,2022-03-09,Nouilles yakisoba précuites avec sauce 3 portions,Riz & Nouilles,Nouvelle-Aquitaine,2,5.6,11.2
ORD-3360,2022-03-09,Nouilles yakisoba précuites avec sauce 3 portions,Riz & Nouilles,Île-de-France,1,5.6,5.6
ORD-1353,2022-03-10,Yuzu kosho,Condiments,Hauts-de-France,1,9.5,9.5
ORD-2680,2022-03-10,Nouilles udon au curry 2 portions,Riz & Nouilles,Île-de-France,4,4.9,19.6
ORD-2137,2022-03-10,Nouilles yakisoba précuites 5 portions,Riz & Nouilles,Provence-Alpes-Côte d'Azur,4,6.5,26.0
ORD-2745,2022-03-12,Nouilles yakisoba précuites 5 portions,Riz & Nouilles,Provence-Alpes-Côte d'Azur,1,6.5,6.5
ORD-3437,2022-03-13,Amazake,Boissons,Nouvelle-Aquitaine,1,6.9,6.9
ORD-3079,2022-03-13,Nouilles Udon 7 portions,Riz & Nouilles,Provence-Alpes-Côte d'Azur,4,5.5,22.0
ORD-2166,2022-03-13,Matcha iRASSHAi,Essentiels,Nouvelle-Aquitaine,2,12.9,25.8
ORD-1115,2022-03-15,Nouilles udon précuites 3 portions,Riz & Nouilles,Provence-Alpes-Côte d'Azur,3,5.4,16.2
ORD-1875,2022-03-17,Nouilles udon précuites 3 portions,Riz & Nouilles,Île-de-France,2,5.4,10.8
ORD-3415,2022-03-17,Nouilles udon au curry 2 portions,Riz & Nouilles,Occitanie,4,4.9,19.6
ORD-2466,2022-03-17,Sauce teriyaki iRASSHAi,Essentiels,Provence-Alpes-Côte d'Azur,1,6.9,6.9
ORD-2929,2022-03-18,Nouilles udon au curry 2 portions,Riz & Nouilles,Bretagne,2,4.9,9.8
ORD-1691,2022-03-18,Nouilles yakisoba précuites avec sauce 3 portions,Riz & Nouilles,Île-de-France,4,5.6,22.4
ORD-2184,2022-03-18,Nouilles yakisoba précuites avec sauce 3 portions,Riz & Nouilles,Occitanie,1,5.6,5.6
ORD-2759,2022-03-18,Wasabi,Condiments,Île-de-France,1,8.9,8.9
ORD-2275,2022-03-18,Nouilles soba à l'igname,Riz & Nouilles,Île-de-France,2,4.1,8.2
ORD-2259,2022-03-19,Mirin iRASSHAi,Essentiels,Occitanie,2,6.5,13.0
ORD-2846,2022-03-20,Vinaigre de riz iRASSHAi,Essentiels,Île-de-France,3,5.9,17.7
ORD-1647,2022-03-21,Nouilles Udon de Kagawa 3 portions,Riz & Nouilles,Île-de-France,4,3.9,15.6
ORD-1772,2022-03-22,Nouilles Udon 7 portions,Riz & Nouilles,Auvergne-Rhône-Alpes,4,5.5,22.0
ORD-1352,2022-03-22,Nouilles udon iRASSHAi,Riz & Nouilles,Centre-Val de Loire,1,4.5,4.5
ORD-2849,2022-03-22,Sauce teriyaki iRASSHAi,Essentiels,Île-de-France,3,6.9,20.7
ORD-2498,2022-03-22,Wasabi,Condiments,Île-de-France,1,8.9,8.9
ORD-3094,2022-03-22,Nouilles soba à l'igname,Riz & Nouilles,Occitanie,3,4.1,12.3
ORD-1118,2022-03-23,Ramen tantan men piquant vegan 2 portions,Riz & Nouilles,Île-de-France,1,4.9,4.9
ORD-2475,2022-03-24,Ramen au miso vegan 3 portions,Riz & Nouilles,Nouvelle-Aquitaine,4,4.5,18.0
ORD-1276,2022-03-24,Nouilles yakisoba précuites avec sauce 3 portions,Riz & Nouilles,Provence-Alpes-Côte d'Azur,2,5.6,11.2
ORD-2064,2022-03-24,Nouilles udon précuites avec sauce 3 portions,Riz & Nouilles,Auvergne-Rhône-Alpes,3,5.6,16.8
ORD-2728,2022-03-25,Nouilles Udon 7 portions,Riz & Nouilles,Nouvelle-Aquitaine,2,5.5,11.0
ORD-2392,2022-03-25,Ramen au yuzu vegan 2 portions,Riz & Nouilles,Île-de-France,3,5.65,16.95
ORD-3328,2022-03-25,Nouilles soba 100% sarrasin,Riz & Nouilles,Provence-Alpes-Côte d'Azur,3,5.5,16.5
ORD-3491,2022-03-26,Yuzu kosho,Condiments,Bretagne,2,9.5,19.0
ORD-2765,2022-03-26,Nouilles soba d'Okuizumo,Riz & Nouilles,Hauts-de-France,1,6.9,6.9
ORD-3224,2022-03-26,Nouilles soba d'Okuizumo,Riz & Nouilles,Occitanie,1,6.9,6.9
ORD-1479,2022-03-26,Sauce soja iRASSHAi,Essentiels,Occitanie,1,6.9,6.9
ORD-1929,2022-03-27,Sauce soja iRASSHAi,Essentiels,Occitanie,3,6.9,20.7
ORD-1453,2022-03-28,Ramen au yuzu vegan 2 portions,Riz & Nouilles,Île-de-France,3,5.65,16.95
ORD-3263,2022-03-28,Nouilles udon iRASSHAi,Riz & Nouilles,Grand Est,3,4.5,13.5
ORD-2684,2022-03-28,Sauce teriyaki iRASSHAi,Essentiels,Nouvelle-Aquitaine,1,6.9,6.9
ORD-2584,2022-03-28,Dashi iRASSHAi,Essentiels,Auvergne-Rhône-Alpes,3,7.9,23.7
ORD-3418,2022-03-28,Miso iRASSHAi,Essentiels,Auvergne-Rhône-Alpes,1,7.5,7.5
ORD-3104,2022-03-29,Nouilles udon au matcha,Riz & Nouilles,Île-de-France,1,3.5,3.5
ORD-3141,2022-03-30,Ramen instantanés au miso sans gluten,Riz & Nouilles,Île-de-France,1,4.1,4.1
ORD-2517,2022-03-30,Coffret art de cuisiner japonais,Coffrets,Île-de-France,1,59.9,59.9
ORD-1401,2022-03-30,Amazake,Boissons,Provence-Alpes-Côte d'Azur,2,6.9,13.8
ORD-2866,2022-03-31,Ramen à la sauce soja vegan 3 portions,Riz & Nouilles,Provence-Alpes-Côte d'Azur,2,4.5,9.0
ORD-1552,2022-03-31,Nouilles udon au curry 2 portions,Riz & Nouilles,Île-de-France,6,4.9,29.4
ORD-1878,2022-04-01,Wasabi,Condiments,Auvergne-Rhône-Alpes,4,8.9,35.6
ORD-2938,2022-04-01,Coffret découverte thés,Coffrets,Bretagne,1,29.9,29.9
ORD-3496,2022-04-01,Nouilles Udon de Kagawa 3 portions,Riz & Nouilles,Nouvelle-Aquitaine,2,3.9,7.8
ORD-2157,2022-04-02,Nouilles udon précuites avec bouillon 3 portions,Riz & Nouilles,Île-de-France,4,5.6,22.4
ORD-2785,2022-04-02,Ramen au miso vegan 3 portions,Riz & Nouilles,Provence-Alpes-Côte d'Azur,2,4.5,9.0
ORD-1892,2022-04-02,Coffret matcha,Coffrets,Grand Est,2,39.9,79.8
ORD-1732,2022-04-03,Ramen au yuzu vegan 2 portions,Riz & Nouilles,Île-de-France,4,5.65,22.6
ORD-3370,2022-04-03,Nouilles Udon de Kagawa 3 portions,Riz & Nouilles,Île-de-France,3,3.9,11.7
ORD-3109,2022-04-04,Ramen au yuzu et à la sauce soja 2 portions,Riz & Nouilles,Île-de-France,2,5.65,11.3
ORD-3488,2022-04-04,Ramen instantanés au miso vegan,Riz & Nouilles,Île-de-France,1,3.2,3.2
ORD-1445,2022-04-04,Ramen au miso vegan 3 portions,Riz & Nouilles,Bretagne,3,4.5,13.5
ORD-2940,2022-04-05,Ramen instantanés sauce soja sans gluten,Riz & Nouilles,Occitanie,2,4.1,8.2
ORD-2032,2022-04-05,Nouilles udon au matcha,Riz & Nouilles,Hauts-de-France,1,3.5,3.5
ORD-1960,2022-04-05,Ramen instantanés sauce soja sans gluten,Riz & Nouilles,Île-de-France,3,4.1,12.3
ORD-1035,2022-04-07,Ramen instantanés tonkotsu sans gluten,Riz & Nouilles,Île-de-France,4,4.1,16.4
ORD-1556,2022-04-08,Saké,Boissons,Provence-Alpes-Côte d'Azur,1,15.9,15.9
ORD-2609,2022-04-08,Nouilles udon au matcha,Riz & Nouilles,Occitanie,3,3.5,10.5
ORD-1533,2022-04-08,Ramen au yuzu et à la sauce soja 2 portions,Riz & Nouilles,Île-de-France,1,5.65,5.65
ORD-2277,2022-04-09,Amazake,Boissons,Normandie,1,6.9,6.9
ORD-1751,2022-04-10,Ramen au yuzu et à la sauce soja 2 portions,Riz & Nouilles,Île-de-France,1,5.65,5.65
ORD-1634,2022-04-10,Ramen instantanés au miso sans gluten,Riz & Nouilles,Île-de-France,3,4.1,12.3
ORD-2883,2022-04-11,Ramen instantanés sauce soja sans gluten,Riz & Nouilles,Auvergne-Rhône-Alpes,3,4.1,12.3
ORD-2772,2022-04-11,Sauce teriyaki iRASSHAi,Essentiels,Île-de-France,3,6.9,20.7
ORD-1347,2022-04-11,Vinaigrette au sésame,Condiments,Provence-Alpes-Côte d'Azur,1,7.9,7.9
ORD-2850,2022-04-11,Nouilles udon au curry 2 portions,Riz & Nouilles,Nouvelle-Aquitaine,3,4.9,14.7
ORD-2067,2022-04-11,Coffret découverte thés,Coffrets,Grand Est,2,29.9,59.8
ORD-1439,2022-04-12,Coffret découverte thés,Coffrets,Île-de-France,1,29.9,29.9
ORD-3111,2022-04-13,Nouilles udon iRASSHAi,Riz & Nouilles,Hauts-de-France,4,4.5,18.0
ORD-2954,2022-04-14,Ramen instantanés sauce soja sans gluten,Riz & Nouilles,Île-de-France,3,4.1,12.3
ORD-1109,2022-04-15,Nouilles soba 100% sarrasin,Riz & Nouilles,Bretagne,2,5.5,11.0
ORD-3027,2022-04-16,Amazake,Boissons,Île-de-France,3,6.9,20.7
ORD-1290,2022-04-16,Nouilles udon précuites avec sauce 3 portions,Riz & Nouilles,Centre-Val de Loire,2,5.6,11.2
ORD-3452,2022-04-17,Saké,Boissons,Île-de-France,3,15.9,47.7
ORD-2539,2022-04-17,Ramen à la sauce soja vegan 3 portions,Riz & Nouilles,Pays de la Loire,1,4.5,4.5
ORD-1195,2022-04-17,Ramen tantan men piquant vegan 2 portions,Riz & Nouilles,Auvergne-Rhône-Alpes,6,4.9,29.4
ORD-1438,2022-04-18,Ramen instantanés au potage vegan,Riz & Nouilles,Nouvelle-Aquitaine,3,3.2,9.6
ORD-3145,2022-04-18,Mirin iRASSHAi,Essentiels,Île-de-France,2,6.5,13.0
ORD-1683,2022-04-18,Ramen instantanés sauce soja sans gluten,Riz & Nouilles,Grand Est,3,4.1,12.3
ORD-2993,2022-04-19,Ramen instantanés au miso vegan,Riz & Nouilles,Auvergne-Rhône-Alpes,1,3.2,3.2
ORD-3349,2022-04-19,Nouilles Udon 7 portions,Riz & Nouilles,Centre-Val de Loire,1,5.5,5.5
ORD-1250,2022-04-20,Ramen instantanés au potage vegan,Riz & Nouilles,Provence-Alpes-Côte d'Azur,3,3.2,9.6
ORD-2249,2022-04-21,Ramen instantanés au potage vegan,Riz & Nouilles,Auvergne-Rhône-Alpes,6,3.2,19.2
ORD-1243,2022-04-22,Sauce teriyaki iRASSHAi,Essentiels,Île-de-France,1,6.9,6.9
ORD-2325,2022-04-22,Ramen instantanés au miso vegan,Riz & Nouilles,Auvergne-Rhône-Alpes,1,3.2,3.2
ORD-2339,2022-04-22,Ramen au miso vegan 3 portions,Riz & Nouilles,Provence-Alpes-Côte d'Azur,1,4.5,4.5
ORD-2445,2022-04-22,Sauce teriyaki iRASSHAi,Essentiels,Nouvelle-Aquitaine,1,6.9,6.9
ORD-3438,2022-04-22,Coffret art de cuisiner japonais,Coffrets,Nouvelle-Aquitaine,2,59.9,119.8
ORD-1446,2022-04-23,Ramen instantanés au miso vegan,Riz & Nouilles,Auvergne-Rhône-Alpes,4,3.2,12.8
ORD-2010,2022-04-23,Nouilles udon iRASSHAi,Riz & Nouilles,Provence-Alpes-Côte d'Azur,5,4.5,22.5
ORD-2880,2022-04-23,Saké,Boissons,Occitanie,1,15.9,15.9
ORD-3419,2022-04-24,Nouilles soba 100% sarrasin,Riz & Nouilles,Île-de-France,1,5.5,5.5
ORD-1727,2022-04-24,Riz japonais iRASSHAi,Essentiels,Pays de la Loire,1,8.5,8.5
ORD-1603,2022-04-24,Ramen instantanés tonkotsu sans gluten,Riz & Nouilles,Auvergne-Rhône-Alpes,3,4.1,12.3
ORD-1330,2022-04-25,Nouilles yakisoba précuites 5 portions,Riz & Nouilles,Centre-Val de Loire,1,6.5,6.5
ORD-1026,2022-04-25,Ramen au miso vegan 3 portions,Riz & Nouilles,Grand Est,5,4.5,22.5
ORD-2760,2022-04-25,Nouilles soba 100% sarrasin premium,Riz & Nouilles,Auvergne-Rhône-Alpes,1,9.4,9.4
ORD-2100,2022-04-25,Ramen au miso vegan 3 portions,Riz & Nouilles,Île-de-France,6,4.5,27.0
ORD-3103,2022-04-25,Nouilles soba 100% sarrasin premium,Riz & Nouilles,Provence-Alpes-Côte d'Azur,2,9.4,18.8
ORD-3374,2022-04-26,Amazake,Boissons,Hauts-de-France,1,6.9,6.9
ORD-2375,2022-04-26,Nouilles udon au curry 2 portions,Riz & Nouilles,Nouvelle-Aquitaine,2,4.9,9.8
ORD-1570,2022-04-28,Nouilles Udon 7 portions,Riz & Nouilles,Île-de-France,3,5.5,16.5
ORD-2546,2022-04-28,Nouilles yakisoba précuites avec sauce 3 portions,Riz & Nouilles,Bretagne,1,5.6,5.6
ORD-2727,2022-04-30,Sauce ponzu,Condiments,Île-de-France,3,6.9,20.7
